surface_form_lemma_link_id	surface_form_id	lemma_id	lemma_subtlex_pos_id
21643	20752	3954	4045
21653	20762	386	428
21656	20765	235	269
21657	20766	810	865
21659	20767	40	56
21668	20776	2743	2825
21669	20777	630	682
21670	20778	904	960
21674	20782	1556	1623
21683	20791	2693	2775
21691	20799	2107	2182
21695	20803	3149	3233
21697	20805	1262	1323
21700	20808	2349	2426
21705	20813	1350	1413
21710	20818	541	589
21713	20821	785	840
21718	20826	182	214
21723	20831	2548	2629
21728	20836	1228	1288
21730	20838	73	93
21733	20841	1399	1462
21738	20846	776	831
21741	20849	1556	1623
21742	20850	181	213
21743	20851	189	221
21747	20855	3410	3497
21750	20858	3051	3134
21751	20859	611	663
21754	20862	90	111
21755	20863	4557	4648
21760	20868	501	546
21761	20869	2135	2210
21763	20871	1432	1498
21766	20874	1211	1271
21771	20879	1933	2004
21774	20882	3014	3096
21781	20888	109	132
21783	20890	1712	1779
21787	20894	1152	1211
21791	20898	1743	1810
21792	20898	1047	1104
21796	20902	386	428
21803	20909	85	106
21804	20910	863	918
21806	20912	608	660
21809	20915	793	848
21815	20921	1005	1062
21816	20922	1990	2061
21822	20928	1528	1594
21823	20929	1964	2035
21828	20934	923	979
21834	20939	941	998
21838	20943	1102	1160
21845	20950	3839	3929
21848	20953	2311	2388
21849	20954	835	890
21853	20958	1574	1641
21856	20961	709	762
21857	20962	1046	1103
21865	20970	644	696
21867	20972	1079	1136
21874	20979	645	697
21876	20981	480	525
21878	20983	189	221
21890	20994	377	419
21896	21000	171	201
21897	21001	1490	1556
21901	21005	3969	4060
21902	21006	617	669
21903	21007	971	1028
21912	21016	3789	3879
21920	21024	2548	2629
21925	21029	595	647
21932	21036	346	387
21934	21038	3699	3789
21935	21039	6447	6545
21936	21039	2826	2908
21941	21044	608	660
21944	21047	1354	1417
21945	21048	747	801
21946	21049	1296	1358
21950	21053	3808	3898
21956	21059	776	831
21957	21060	1105	1163
21960	21063	811	866
21961	21064	519	564
21970	21073	452	496
21972	21074	586	638
21976	21078	1162	1222
21979	21081	2741	2823
21980	21081	663	715
21983	21084	867	922
21985	21086	1280	1342
21986	21086	804	859
21990	21090	1933	2004
21994	21094	1932	2003
21999	21099	1267	1328
22001	21101	134	161
22002	21102	462	506
22011	21111	1574	1641
22012	21112	68	87
22023	21123	3347	3433
22029	21129	3781	3871
22032	21132	1277	1339
22033	21133	182	214
22037	21137	807	862
22038	21138	1079	1136
22045	21145	430	474
22053	21153	1500	1566
22060	21160	648	700
22063	21163	943	1000
22067	21167	2014	2087
22069	21169	170	200
22084	21184	3715	3805
22088	21188	588	640
22093	21193	2143	2218
22095	21194	3224	3308
22098	21197	313	353
22101	21200	1626	1693
22102	21201	1626	1693
22108	21207	1777	1845
22111	21210	1340	1402
22112	21211	634	686
22118	21217	1436	1502
22121	21220	1108	1166
22131	21230	3128	3212
22139	21237	586	638
22140	21238	648	700
22142	21240	1900	1971
22143	21241	1848	1918
22144	21242	326	367
22145	21243	578	630
22149	21247	604	656
22150	21248	694	747
22152	21250	1372	1435
22153	21251	2895	2977
22164	21262	120	146
22178	21276	343	384
22184	21282	821	876
22188	21286	334	375
22189	21287	689	742
22199	21297	1181	1241
22200	21298	286	324
22203	21300	4625	4717
22208	21305	271	307
22211	21308	611	663
22212	21309	1940	2011
22214	21311	1301	1363
22216	21312	772	827
22220	21316	1791	1860
22223	21319	663	715
22225	21321	1262	1323
22226	21322	1893	1964
22227	21323	2551	2632
22229	21325	916	972
22231	21327	96	118
22236	21332	992	1049
22239	21335	437	481
22248	21344	1069	1126
22256	21352	240	274
22262	21358	2712	2794
22267	21363	438	482
22269	21365	3564	3652
22273	21369	1108	1166
22279	21374	3051	3134
22282	21377	222	255
22285	21380	2259	2336
22296	21390	415	458
22300	21394	1162	1222
22306	21400	2164	2240
22307	21401	1719	1786
22311	21405	1258	1319
22326	21420	7489	7591
22334	21428	1099	1157
22340	21434	1609	1676
22342	21436	561	611
22343	21437	354	395
22345	21439	3115	3198
22347	21441	1154	1213
22349	21443	2579	2660
22354	21448	154	182
22358	21452	2513	2594
22359	21453	169	199
22367	21461	1074	1131
22372	21466	493	538
22373	21467	861	916
22379	21473	509	554
22386	21479	373	415
22391	21484	2385	2463
22392	21485	2798	2880
22396	21489	1615	1682
22408	21501	1177	1237
22409	21501	2926	3008
22412	21504	717	771
22416	21508	1348	1411
22419	21511	392	435
22423	21515	184	216
22424	21516	3429	3516
22425	21517	2732	2814
22431	21523	327	368
22436	21527	1518	1584
22437	21528	1346	1408
22438	21529	1330	1392
22439	21530	1184	1244
22440	21530	3297	3382
22447	21537	1578	1645
22453	21543	3919	4010
22454	21544	189	221
22455	21545	169	199
22458	21548	701	754
22459	21549	534	581
22460	21550	185	217
22461	21551	1331	1393
22462	21552	2290	2367
22463	21553	2290	2367
22465	21555	242	277
22470	21560	1138	1196
22471	21561	452	496
22472	21562	1261	1322
22480	21570	1963	2034
22483	21572	1216	1276
22493	21581	843	898
22495	21583	1302	1364
22503	21591	163	192
22504	21592	424	467
22505	21593	2779	2861
22510	21598	1529	1595
22520	21607	1538	1604
22522	21609	3164	3248
22524	21611	1184	1244
22525	21612	543	591
22527	21614	1909	1980
22530	21616	2743	2825
22536	21622	181	213
22540	21626	1978	2049
22541	21627	1331	1393
22542	21628	2290	2367
22545	21631	360	402
22554	21640	3158	3242
22555	21641	160	189
22562	21648	1101	1159
22563	21649	2385	2463
22567	21653	1893	1964
22579	21665	2030	2104
22586	21672	75	96
22589	21675	4375	4466
22591	21677	1296	1358
22592	21678	1053	1110
22599	21685	224	257
22600	21686	3136	3220
22609	21695	979	1036
22612	21698	229	262
22617	21703	924	980
22618	21704	876	931
22620	21706	943	1000
22624	21710	2657	2739
22626	21712	1957	2028
22629	21715	488	533
22630	21716	461	505
22632	21718	1927	1998
22645	21731	450	494
22654	21739	2778	2860
22659	21744	485	530
22661	21746	3071	3154
22662	21747	126	153
22663	21748	127	154
22664	21749	685	738
22673	21758	208	241
22677	21762	775	830
22678	21763	1108	1166
22680	21765	2357	2434
22682	21767	1853	1923
22683	21768	913	969
22688	21773	2136	2211
22694	21779	1317	1379
22696	21781	556	605
22699	21784	243	278
22701	21786	2038	2112
22704	21789	2349	2426
22712	21797	761	816
22720	21805	1069	1126
22727	21812	354	395
22739	21824	5912	6008
22740	21824	677	730
22743	21827	634	686
22766	21849	3514	3602
22767	21850	564	614
22768	21851	452	496
22769	21852	501	546
22770	21853	1855	1925
22778	21861	804	859
22779	21862	896	951
22781	21864	3012	3094
22782	21865	1772	1840
22786	21869	1907	1978
22787	21870	1248	1308
22788	21871	1294	1356
22792	21875	374	416
22793	21875	226	259
22795	21877	1046	1103
22797	21879	1236	1296
22802	21884	4975	5069
22805	21887	1704	1771
22811	21893	3803	3893
22817	21899	1544	1611
22821	21903	1145	1203
22822	21903	1788	1857
22823	21904	691	744
22826	21907	1556	1623
22829	21910	1528	1594
22830	21911	1790	1859
22831	21912	953	1010
22841	21922	277	313
22845	21926	3602	3690
22848	21929	1791	1860
22851	21932	2440	2521
22852	21933	794	849
22854	21935	947	1004
22861	21942	500	545
22868	21949	1893	1964
22869	21950	768	823
22872	21953	3014	3096
22875	21956	812	867
22879	21960	349	390
22881	21962	723	777
22883	21964	1294	1356
22885	21966	3441	3528
22893	21974	2872	2954
22897	21978	266	302
22900	21981	1154	1213
22906	21987	677	730
22916	21997	2723	2805
22922	22003	1441	1507
22929	22010	778	833
22932	22013	510	555
22934	22015	1564	1631
22936	22017	318	359
22937	22018	1261	1322
22948	22029	814	869
22950	22031	1335	1397
22951	22032	804	859
22953	22034	1169	1229
22954	22035	453	497
22964	22045	938	994
22966	22047	717	771
22971	22052	2222	2299
22976	22057	560	610
22980	22061	2778	2860
22982	22063	1192	1252
22985	22066	240	274
22986	22067	1168	1228
22988	22069	1697	1764
22990	22071	608	660
22996	22077	858	913
22998	22079	1336	1398
22999	22080	1105	1163
23004	22085	2345	2422
23006	22087	1100	1158
23007	22088	1100	1158
23014	22095	372	414
23015	22096	420	463
23021	22101	4131	4222
23022	22102	2115	2190
23023	22103	206	239
23030	22110	1366	1429
23031	22111	1279	1341
23036	22116	1173	1233
23042	22122	1032	1089
23043	22123	1364	1427
23046	22125	1234	1294
23050	22129	374	416
23051	22130	1460	1526
23055	22134	1047	1104
