surface_form_id	nkjp_frequency	nkjp_frequency_rank	occurrence_pct	per_million
376	73749	249	0.031650659191	316.506592
377	26018	832	0.011166074806	111.660748
378	58633	311	0.025163366288	251.633663
379	9877	2413	0.004238885420	42.388854
380	6150	4087	0.002639378894	26.393789
381	4636	5495	0.001989619602	19.896196
382	14392	1557	0.006176575778	61.765758
383	44513	444	0.019103524015	191.035240
384	3629	6988	0.001557448131	15.574481
385	23652	922	0.010150664974	101.506650
386	23792	918	0.010210748396	102.107484
387	1790	13419	0.000768209467	7.682095
388	65417	277	0.028074837250	280.748372
390	49834	393	0.021387123217	213.871232
391	37038	555	0.015895498449	158.954984
392	3689	6866	0.001583198169	15.831982
393	52385	361	0.022481928999	224.819290
394	21158	1033	0.009080321729	90.803217
395	58200	316	0.024977536847	249.775368
396	46868	422	0.020114213006	201.142130
397	49056	399	0.021053231058	210.532311
398	33770	620	0.014492979713	144.929797
399	40687	488	0.017461529926	174.615299
400	29640	728	0.012720518765	127.205188
401	37647	539	0.016156861335	161.568613
402	22419	977	0.009621501694	96.215017
403	49007	400	0.021032201860	210.322019
404	29463	733	0.012644556153	126.445562
405	140609	112	0.060344784854	603.447849
406	23623	924	0.010138219123	101.382191
407	45381	437	0.019476041231	194.760412
408	28581	760	0.012266030595	122.660306
409	61316	294	0.026314822153	263.148222
410	48564	405	0.020842080746	208.420807
411	223473	71	0.095907303983	959.073040
412	23484	934	0.010078564868	100.785649
413	96466	181	0.041400052740	414.000527
414	43949	450	0.018861473658	188.614737
415	19083	1153	0.008189799582	81.897996
416	119187	143	0.051151162959	511.511630
417	34365	604	0.014748334257	147.483343
418	64999	282	0.027895445318	278.954453
419	15169	1465	0.006510038770	65.100388
420	4623	5508	0.001984040427	19.840404
421	16808	1314	0.007213443975	72.134440
422	55210	333	0.023694326621	236.943266
423	38814	520	0.016657699574	166.576996
424	33387	638	0.014328608638	143.286086
425	127704	130	0.054806380851	548.063809
426	50948	376	0.021865215589	218.652156
427	174327	89	0.074815447868	748.154479
428	19164	1147	0.008224562133	82.245621
429	41829	473	0.017951638982	179.516390
430	4971	5123	0.002133390647	21.333906
431	3062	8204	0.001314110272	13.141103
432	18603	1188	0.007983799278	79.837993
433	38061	535	0.016334536597	163.345366
434	59648	306	0.025598971097	255.989711
435	5619	4511	0.002411491057	24.114911
436	39698	509	0.017037083467	170.370835
437	4833	5270	0.002074165560	20.741656
438	40907	484	0.017555946732	175.559467
439	10522	2247	0.004515698328	45.156983
440	11868	1951	0.005093357514	50.933575
441	1143	20020	0.000490538224	4.905382
442	78397	230	0.033645428801	336.454288
443	81209	220	0.034852247248	348.522472
444	10677	2207	0.004582219260	45.822193
445	7436	3348	0.003191288041	31.912880
446	54275	340	0.023293055195	232.930552
447	76054	236	0.032639889817	326.398898
448	6815	3651	0.002924775148	29.247751
449	45913	432	0.019704358235	197.043582
451	21272	1030	0.009129246801	91.292468
452	18171	1211	0.007798399004	77.983990
454	54254	341	0.023284042682	232.840427
455	21525	1021	0.009237826128	92.378261
456	1349	17268	0.000578946687	5.789467
457	61034	296	0.026193796975	261.937970
458	45132	439	0.019369178574	193.691786
459	49997	390	0.021457077487	214.570775
461	46111	431	0.019789333360	197.893334
462	14697	1519	0.006307471805	63.074718
463	34621	597	0.014858201086	148.582011
464	22318	981	0.009578155796	95.781558
465	8585	2821	0.003684401269	36.844013
466	2036	11995	0.000873784622	8.737846
468	131661	122	0.056504595856	565.045959
470	12126	1903	0.005204082677	52.040827
471	25728	839	0.011041616289	110.416163
472	10818	2180	0.004642731849	46.427318
473	109248	160	0.046885669166	468.856692
474	3684	6880	0.001581052332	15.810523
476	8269	2962	0.003548784402	35.487844
478	6685	3729	0.002868983399	28.689834
479	9846	2418	0.004225581234	42.255812
480	14773	1504	0.006340088520	63.400885
481	31021	690	0.013313198806	133.131988
482	4763	5347	0.002044123849	20.441238
483	14865	1499	0.006379571911	63.795719
484	74558	243	0.031997855537	319.978555
485	119031	144	0.051084212860	510.842129
486	26325	820	0.011297829167	112.978292
487	5549	4573	0.002381449346	23.814493
488	79888	224	0.034285317245	342.853172
489	33519	629	0.014385258721	143.852587
490	9050	2671	0.003883964063	38.839641
491	78973	226	0.033892629165	338.926292
492	29959	719	0.012857423134	128.574231
494	52988	350	0.022740716881	227.407169
495	38241	530	0.016411786711	164.117867
496	18946	1165	0.008131003662	81.310037
498	7404	3364	0.003177554688	31.775547
499	72433	254	0.031085875025	310.858750
500	91919	192	0.039448629028	394.486290
501	46572	427	0.019987179485	199.871795
502	46617	426	0.020006492014	200.064920
503	21848	1002	0.009376447166	93.764472
506	1383	16885	0.000593538376	5.935384
507	50324	385	0.021597415194	215.974152
508	28852	751	0.012382334933	123.823349
509	64172	285	0.027540523961	275.405240
510	52312	363	0.022450599786	224.505998
511	26625	810	0.011426579357	114.265794
512	53446	347	0.022937275504	229.372755
514	11571	2017	0.004965894826	49.658948
515	51448	373	0.022079799239	220.797992
517	35915	572	0.015413543572	154.135436
518	1701	14067	0.000730013577	7.300136
519	47051	420	0.020192750622	201.927506
520	30022	718	0.012884460674	128.844607
521	26072	831	0.011189249840	111.892498
522	49422	395	0.021210306290	212.103063
523	23589	926	0.010123627434	101.236274
524	53972	343	0.023163017504	231.630175
525	23994	907	0.010297440191	102.974402
526	34876	591	0.014967638747	149.676387
527	52792	354	0.022656600090	226.566001
528	10337	2291	0.004436302378	44.363024
529	25329	853	0.010870378536	108.703785
530	30749	699	0.013196465301	131.964653
531	17542	1261	0.007528452773	75.284528
532	82952	216	0.035600285851	356.002859
533	4404	5770	0.001890052788	18.900528
534	50014	389	0.021464373331	214.643733
536	10387	2277	0.004457760743	44.577607
537	22483	976	0.009648968401	96.489684
538	7543	3303	0.003237208942	32.372089
539	10653	2215	0.004571919245	45.719192
540	33691	624	0.014459075497	144.590755
541	17000	1299	0.007295844096	72.958441
542	1632	14585	0.000700401033	7.004010
543	11493	2040	0.004932419776	49.324198
544	23621	925	0.010137360788	101.373608
545	102158	173	0.043842873011	438.428730
547	9159	2622	0.003930743299	39.307433
548	20223	1085	0.008679050303	86.790503
549	1347	17294	0.000578088353	5.780884
550	71661	256	0.030754557869	307.545579
551	24213	899	0.010391427830	103.914278
553	10172	2332	0.004365489773	43.654898
554	3338	7570	0.001432560447	14.325604
555	16575	1333	0.007113447994	71.134480
556	13102	1741	0.005622949962	56.229500
557	26109	830	0.011205129030	112.051290
558	2276	10842	0.000976784774	9.767848
559	17691	1249	0.007592398700	75.923987
560	64633	284	0.027738370087	277.383701
561	1514	15643	0.000649759292	6.497593
562	17094	1292	0.007336185822	73.361858
563	1288	18023	0.000552767482	5.527675
564	6191	4063	0.002656974753	26.569748
565	19719	1112	0.008462749984	84.627500
567	11661	1996	0.005004519883	50.045199
568	21766	1007	0.009341255447	93.412554
569	2219	11085	0.000952322238	9.523222
570	10349	2287	0.004441452385	44.414524
571	97192	179	0.041711628200	417.116282
572	10550	2241	0.004527715013	45.277150
573	52433	360	0.022502529029	225.025290
574	25790	837	0.011068224661	110.682247
575	2394	10337	0.001027426516	10.274265
576	48539	406	0.020831351564	208.313516
577	18523	1195	0.007949465894	79.494659
578	12405	1851	0.005323820354	53.238204
579	25476	847	0.010933466129	109.334661
580	3502	7240	0.001502943884	15.029439
581	41341	477	0.017742205340	177.422053
584	74059	246	0.031783701054	317.837011
585	5650	4475	0.002424795244	24.247952
586	39051	515	0.016759412224	167.594122
587	5058	5022	0.002170728202	21.707282
588	35749	577	0.015342301800	153.423018
589	17532	1262	0.007524161100	75.241611
590	4982	5115	0.002138111487	21.381115
591	40466	493	0.017366683953	173.666840
592	10517	2248	0.004513552492	45.135525
593	17608	1259	0.007556777814	75.567778
595	29299	738	0.012574172716	125.741727
596	40704	487	0.017468825770	174.688258
597	116586	149	0.050034898812	500.348988
598	18299	1206	0.007853332419	78.533324
599	29082	747	0.012481043412	124.810434
600	374	48140	0.000160508570	1.605086
601	56857	321	0.024401165163	244.011652
602	7866	3122	0.003375829980	33.758300
603	27817	782	0.011938146778	119.381468
604	106716	165	0.045799017563	457.990176
605	13259	1711	0.005690329228	56.903292
606	14633	1526	0.006280005098	62.800051
607	18983	1164	0.008146882852	81.468829
608	39117	514	0.016787737265	167.877373
609	19023	1162	0.008164049544	81.640495
610	26283	822	0.011279804140	112.798041
611	12527	1831	0.005376178764	53.761788
612	12921	1771	0.005545270680	55.452707
613	22688	964	0.009736947697	97.369477
614	5281	4790	0.002266432510	22.664325
615	2273	10855	0.000975497272	9.754973
616	3046	8246	0.001307243595	13.072436
617	7606	3263	0.003264246482	32.642465
618	71422	257	0.030651986885	306.519869
619	15432	1440	0.006622909770	66.229098
620	25445	848	0.010920161943	109.201619
621	1036	21757	0.000444617323	4.446173
622	69998	261	0.030040852650	300.408526
623	15265	1458	0.006551238831	65.512388
624	106859	164	0.045860388487	458.603885
625	7679	3220	0.003295575695	32.955757
626	12321	1868	0.005287770301	52.877703
627	1961	12392	0.000841597075	8.415971
628	1324	17559	0.000568217505	5.682175
629	19081	1154	0.008188941247	81.889412
630	21698	1013	0.009312072071	93.120721
631	6691	3724	0.002871558403	28.715584
632	37237	551	0.015980902742	159.809027
633	8032	3042	0.003447071752	34.470718
635	78520	228	0.033698216379	336.982164
636	9399	2553	0.004033743451	40.337435
639	15013	1483	0.006443088672	64.430887
640	37115	554	0.015928544331	159.285443
641	57326	320	0.024602444627	246.024446
642	66870	273	0.028698417336	286.984173
643	20923	1048	0.008979467413	89.794674
644	5625	4506	0.002414066061	24.140661
645	11959	1930	0.005132411738	51.324117
646	8349	2915	0.003583117786	35.831178
647	92752	191	0.039806125389	398.061254
648	16261	1359	0.006978689462	69.786895
649	2687	9296	0.001153172535	11.531725
650	19910	1099	0.008544720939	85.447209
651	20966	1044	0.008997921607	89.979216
652	9194	2613	0.003945764154	39.457642
653	40889	485	0.017548221721	175.482217
654	5186	4881	0.002225661617	22.256616
656	28875	750	0.012392205781	123.922058
657	4961	5137	0.002129098974	21.290990
658	1546	15344	0.000663492645	6.634926
659	31994	660	0.013730778589	137.307786
660	28332	769	0.012159167937	121.591679
661	11645	2002	0.004997653206	49.976532
662	1423	16483	0.000610705068	6.107051
663	13176	1725	0.005654708342	56.547083
664	25335	852	0.010872953540	108.729535
665	2564	9709	0.001100384957	11.003850
666	65157	280	0.027963253752	279.632538
667	17394	1270	0.007464936012	74.649360
668	24120	903	0.010351515271	103.515153
669	681	30562	0.000292262931	2.922629
670	8073	3027	0.003464667611	34.646676
671	24339	892	0.010445502909	104.455029
672	18323	1203	0.007863632434	78.636324
673	19131	1149	0.008210399612	82.103996
674	119716	141	0.051378192460	513.781925
676	26949	803	0.011565629562	115.656296
677	477	40052	0.000204712802	2.047128
678	22553	973	0.009679010112	96.790101
679	20058	1093	0.008608237699	86.082377
